iter	Passed	Remaining
440	803	1019
441	805	1016
442	806	1014
443	808	1012
444	810	1010
445	811	1008
446	813	1005
447	814	1003
448	815	1001
449	817	999
450	818	996
451	820	994
452	821	992
453	823	989
454	824	987
455	826	985
456	827	983
457	828	980
458	830	978
459	832	976
460	833	974
461	834	972
462	836	969
463	837	967
464	838	964
465	839	962
466	841	960
467	842	958
468	844	956
469	845	953
470	847	951
471	848	949
472	850	947
473	851	944
474	852	942
475	853	939
476	855	938
477	857	936
478	858	933
479	860	931
480	861	929
481	862	927
482	864	925
483	865	922
484	867	921
485	869	919
486	870	917
487	872	915
488	873	912
489	874	910
490	876	908
491	877	906
492	879	904
493	881	902
494	882	900
495	884	898
496	885	896
497	887	894
498	888	892
499	889	889
500	891	887
501	893	885
502	894	883
503	895	881
504	897	879
505	898	877
506	899	875
507	901	872
508	902	870
509	904	869
510	906	867
511	907	865
512	909	863
513	910	861
514	912	858
515	913	856
516	914	854
517	916	853
518	918	851
519	919	849
520	921	846
521	922	844
522	923	842
523	925	840
524	926	838
525	928	836
526	930	834
527	931	832
528	932	830
529	934	828
530	935	826
531	936	824
532	938	822
533	940	820
534	941	818
535	943	816
536	945	814
537	946	812
538	947	810
539	949	808
540	950	806
541	952	804
542	954	803
543	955	801
544	957	799
545	958	796
546	959	794
547	961	792
548	962	790
549	964	788
550	966	787
551	967	785
552	969	783
553	970	781
554	971	779
555	973	777
556	974	775
557	976	773
558	977	771
559	978	769
560	980	767
561	981	765
562	982	762
563	984	760
564	985	759
565	987	757
566	988	755
567	990	753
568	991	751
569	993	749
570	994	747
571	996	745
572	997	743
573	999	741
574	1001	739
575	1002	738
576	1004	736
577	1005	734
578	1007	732
579	1008	730
580	1009	728
581	1011	726
582	1012	724
583	1014	722
584	1015	720
585	1017	718
586	1018	716
587	1019	714
588	1021	712
589	1022	710
590	1024	709
591	1026	707
592	1027	705
593	1029	703
594	1030	701
595	1031	699
596	1033	697
597	1034	695
598	1037	694
599	1038	692
600	1040	690
601	1041	688
602	1043	686
603	1044	684
604	1045	682
605	1047	680
606	1049	679
607	1051	677
608	1052	675
609	1053	673
610	1055	671
611	1056	669
612	1058	668
613	1059	666
614	1061	664
615	1062	662
616	1064	660
617	1066	659
618	1067	657
619	1069	655
620	1070	653
621	1072	651
622	1073	649
623	1075	647
624	1076	645
625	1077	643
626	1079	642
627	1080	640
628	1082	638
629	1083	636
630	1085	634
631	1086	632
632	1088	631
633	1090	629
634	1092	627
635	1093	625
636	1095	624
637	1096	622
638	1098	620
639	1099	618
640	1101	616
641	1102	614
642	1104	613
643	1105	611
644	1107	609
645	1108	607
646	1110	606
647	1112	604
648	1114	602
649	1116	601
650	1117	599
651	1119	597
652	1121	596
653	1123	594
654	1124	592
655	1126	590
656	1128	588
657	1129	587
658	1131	585
659	1132	583
660	1134	581
661	1136	580
662	1137	578
663	1139	576
664	1140	574
665	1142	572
666	1143	570
667	1145	569
668	1147	567
669	1148	565
670	1150	563
671	1151	562
672	1153	560
673	1155	558
674	1157	557
675	1158	555
676	1160	553
677	1162	552
678	1163	550
679	1165	548
680	1166	546
681	1168	544
682	1170	543
683	1171	541
684	1172	539
685	1174	537
686	1175	535
687	1177	533
688	1178	532
689	1180	530
690	1182	528
691	1183	526
692	1185	525
693	1187	523
694	1188	521
695	1190	519
696	1191	517
697	1193	516
698	1195	514
699	1196	512
700	1198	511
701	1200	509
702	1201	507
703	1203	505
704	1205	504
705	1207	502
706	1209	501
707	1210	499
708	1212	497
709	1213	495
710	1214	493
711	1216	492
712	1218	490
713	1220	488
714	1221	486
715	1223	485
716	1224	483
717	1226	481
718	1228	480
719	1230	478
720	1232	476
721	1233	475
722	1235	473
723	1237	471
724	1238	469
725	1240	468
726	1241	466
727	1243	464
728	1244	462
729	1246	461
730	1248	459
731	1249	457
732	1251	455
733	1253	454
734	1255	452
735	1256	450
736	1258	449
737	1259	447
738	1261	445
739	1262	443
740	1263	441
741	1265	440
742	1267	438
743	1268	436
744	1270	434
745	1271	432
746	1273	431
747	1274	429
748	1275	427
749	1277	425
750	1279	424
751	1280	422
752	1282	420
753	1283	418
754	1284	416
755	1286	415
756	1287	413
757	1289	411
758	1290	409
759	1292	408
760	1293	406
761	1295	404
762	1296	402
763	1298	401
764	1299	399
765	1301	397
766	1303	395
767	1304	394
768	1306	392
769	1307	390
770	1308	388
771	1310	386
772	1311	385
773	1313	383
774	1314	381
775	1316	379
776	1317	378
777	1319	376
778	1320	374
779	1322	373
780	1324	371
781	1326	369
782	1327	367
783	1329	366
784	1330	364
785	1332	362
786	1333	360
787	1334	359
788	1336	357
789	1338	355
790	1340	354
791	1342	352
792	1343	350
793	1345	348
794	1346	347
795	1348	345
796	1350	343
797	1351	342
798	1353	340
799	1354	338
800	1356	336
801	1357	335
802	1359	333
803	1360	331
804	1362	329
805	1363	328
806	1365	326
807	1366	324
808	1368	323
809	1369	321
810	1371	319
811	1372	317
812	1374	316
813	1375	314
814	1377	312
815	1378	310
816	1379	309
817	1381	307
818	1382	305
819	1384	303
820	1385	302
821	1387	300
822	1388	298
823	1390	296
824	1391	295
825	1392	293
826	1394	291
827	1395	289
828	1397	288
829	1399	286
830	1400	284
831	1402	283
832	1403	281
833	1405	279
834	1407	278
835	1408	276
836	1410	274
837	1413	273
838	1414	271
839	1416	269
840	1418	268
841	1419	266
842	1421	264
843	1423	263
844	1424	261
845	1426	259
846	1427	257
847	1428	256
848	1430	254
849	1431	252
850	1433	251
851	1435	249
852	1436	247
853	1438	245
854	1439	244
855	1440	242
856	1442	240
857	1443	238
858	1445	237
859	1446	235
860	1448	233
861	1450	232
862	1451	230
863	1453	228
864	1454	226
865	1455	225
866	1457	223
867	1459	221
868	1460	220
869	1461	218
870	1463	216
871	1464	214
872	1465	213
873	1467	211
874	1469	209
875	1470	208
876	1472	206
877	1473	204
878	1475	203
879	1476	201
880	1478	199
881	1479	197
882	1481	196
883	1483	194
884	1484	192
885	1485	191
886	1487	189
887	1488	187
888	1490	186
889	1491	184
890	1493	182
891	1495	181
892	1496	179
893	1498	177
894	1499	175
895	1501	174
896	1502	172
897	1503	170
898	1505	169
899	1506	167
900	1507	165
901	1509	163
902	1510	162
903	1512	160
904	1513	158
905	1515	157
906	1516	155
907	1517	153
908	1519	152
909	1521	150
910	1522	148
911	1524	147
912	1525	145
913	1526	143
914	1528	141
915	1530	140
916	1531	138
917	1533	136
918	1534	135
919	1536	133
920	1537	131
921	1539	130
922	1540	128
923	1542	126
924	1544	125
925	1545	123
926	1547	121
927	1548	120
928	1550	118
929	1551	116
930	1552	115
931	1555	113
932	1556	111
933	1558	110
934	1559	108
935	1560	106
936	1562	105
937	1563	103
938	1565	101
939	1567	100
940	1569	98
941	1570	96
942	1571	95
943	1573	93
944	1574	91
945	1576	89
946	1579	88
947	1580	86
948	1582	85
949	1583	83
950	1585	81
951	1586	79
952	1587	78
953	1589	76
954	1591	74
955	1592	73
956	1594	71
957	1595	69
958	1597	68
959	1598	66
960	1600	64
961	1601	63
962	1603	61
963	1604	59
964	1605	58
965	1607	56
966	1609	54
967	1610	53
968	1612	51
969	1613	49
970	1615	48
971	1616	46
972	1618	44
973	1619	43
974	1621	41
975	1622	39
976	1624	38
977	1625	36
978	1628	34
979	1629	33
980	1631	31
981	1632	29
982	1634	28
983	1635	26
984	1637	24
985	1638	23
986	1640	21
987	1641	19
988	1642	18
989	1644	16
990	1645	14
991	1646	13
992	1647	11
993	1649	9
994	1650	8
995	1652	6
996	1653	4
997	1654	3
998	1656	1
999	1657	0
